benchmark,rustydb_median_ms,rustydb_p95_ms,rustydb_mean_ms,rustydb_min_ms,rustydb_max_ms,rustydb_stdev_ms,mysql_median_ms,mysql_p95_ms,mysql_mean_ms,mysql_min_ms,mysql_max_ms,mysql_stdev_ms,ratio
create_table,0.2878,0.5925,0.3127,0.1904,0.6910,0.1151,4.0909,4.7403,4.1599,3.5275,5.5996,0.3888,14.21
insert,0.3622,0.4995,0.3763,0.2254,0.6516,0.0816,0.8753,1.0307,0.8935,0.7021,1.9028,0.1207,2.42
select_all,3.9829,5.2900,4.3403,3.6008,5.6868,0.5914,4.6977,5.3240,4.5430,3.5017,5.4234,0.5581,1.18
select_where_eq,1.6803,2.2392,1.6654,1.2378,2.4063,0.3026,1.9928,3.3399,2.2386,1.5347,3.7698,0.5817,1.19
select_where_cmp,3.0861,4.4450,3.3108,2.6357,4.5235,0.5183,3.0004,4.2505,3.1301,2.4378,4.9435,0.5376,0.97
select_where_and,1.1539,1.7830,1.2313,0.9039,1.9085,0.2960,1.3651,1.6242,1.3915,1.1711,1.7037,0.1252,1.18
select_like_suffix,3.1611,4.0139,3.2364,2.3063,4.1071,0.5562,1.9243,3.1942,2.0797,1.5285,3.6049,0.4718,0.61
select_like_prefix,1.5788,2.0195,1.6668,1.1620,3.3873,0.3037,1.2535,1.4671,1.2718,1.0479,1.7407,0.1216,0.79
select_order_by,4.0889,5.4864,4.4707,3.7182,7.7224,0.7187,4.3732,5.2510,4.3647,3.5062,5.4178,0.6024,1.07
select_order_limit,0.3850,0.5233,0.4066,0.3168,0.5539,0.0641,0.7985,1.4024,0.9884,0.7362,9.2323,0.9827,2.07
update_single,1.6080,1.7995,1.6606,1.4603,5.4914,0.3972,0.9044,1.0207,0.9109,0.8120,1.2191,0.0653,0.56
update_multi,1.7667,1.9100,1.7726,1.5630,2.1871,0.0846,1.1576,1.3108,1.1755,0.9252,2.4992,0.1521,0.66
delete_single,12.3506,13.0056,12.4041,11.7344,13.5552,0.3112,0.9252,1.0055,0.9295,0.8298,1.1565,0.0507,0.07
mixed_workload,0.9060,4.1860,1.1930,0.1438,4.7675,1.2080,0.8557,2.0916,1.0564,0.5458,2.1522,0.5197,0.94
table_size_100,0.3646,0.4910,0.3681,0.2756,0.5600,0.0738,0.6835,0.8148,0.7020,0.6295,1.0370,0.0631,1.87
table_size_1000,3.7732,4.0089,3.7892,3.5335,4.8579,0.1531,4.7410,5.2919,4.5739,3.4116,5.7735,0.5646,1.26
table_size_10000,39.1847,40.5259,39.3717,38.3226,45.5615,0.8582,33.2275,35.1469,33.2367,30.9008,38.1429,1.3595,0.85
complex_and_or,2.1159,2.7423,2.1825,1.5811,3.1529,0.3485,2.6169,3.1475,2.6002,1.9209,4.6082,0.4496,1.24
complex_multi,1.2092,2.1706,1.3955,1.1002,2.5493,0.3611,1.6363,1.8100,1.6237,1.4067,1.9752,0.1207,1.35
indexed_range_100k,1.9204,2.3757,1.9317,1.3208,2.7180,0.2900,1.0976,1.7798,1.1778,0.7519,1.9749,0.2745,0.57
join_group_aggregate,6.2847,6.5370,6.3173,5.8661,9.3422,0.3503,4.3150,4.7882,4.3350,3.9210,5.2861,0.2245,0.69
cte_subquery,20.8005,22.0957,20.8764,19.5979,24.4120,0.6462,6.0709,6.7408,6.1201,5.3019,7.6750,0.3718,0.29
